degree,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,hsapiens_regen_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,label
7,0.970588235294118,0.963068181818182,0.91304347826087,0.958217270194986,0.982964224872232,0.994871794871795,0.970501474926254,0.989276139410188,0.972413793103448,0.980662983425414,0.961661341853035,0.989154013015184,1
5,0.748299319727891,0.758522727272727,0.543478260869565,0.595238095238095,0.749574105621806,0.784615384615385,0.76401179941003,0.772117962466488,0.701388888888889,0.759668508287293,0.664536741214057,0.835140997830803,1
2,0.893665158371041,0.894886363636364,0.804347826086957,0.869047619047619,0.89778534923339,0.905128205128205,0.899705014749263,0.927613941018767,0.855172413793103,0.914364640883978,0.856230031948882,0.932754880694143,1
12,0.938914027149321,0.951704545454545,0.91304347826087,0.913649025069638,0.960817717206133,0.964102564102564,0.935103244837758,0.981233243967828,0.958620689655172,0.966850828729282,0.936102236421725,0.978308026030369,1
105,0.434389140271493,0.369318181818182,0.239130434782609,0.285714285714286,0.45144804088586,0.494871794871795,0.466076696165192,0.479892761394102,0.372413793103448,0.49171270718232,0.386581469648562,0.501084598698482,1
5,0.852941176470588,0.823863636363636,0.652173913043478,0.779944289693593,0.843270868824532,0.858974358974359,0.861356932153392,0.906166219839142,0.820689655172414,0.870165745856354,0.798722044728435,0.891540130151844,1
7,0.832579185520362,0.803977272727273,0.804347826086957,0.752089136490251,0.802385008517888,0.846153846153846,0.834808259587021,0.844504021447721,0.841379310344828,0.870165745856354,0.744408945686901,0.885032537960954,1
1,0.880090497737557,0.818181818181818,0.847826086956522,0.81058495821727,0.851788756388416,0.897435897435897,0.914454277286136,0.93029490616622,0.910344827586207,0.911602209944751,0.833865814696486,0.937093275488069,1
1,0.900452488687783,0.869318181818182,0.869565217391304,0.877437325905292,0.902896081771721,0.930769230769231,0.911504424778761,0.924932975871314,0.931034482758621,0.919889502762431,0.865814696485623,0.937093275488069,1
2,0.963800904977376,0.946022727272727,0.956521739130435,0.933147632311978,0.965928449744463,0.984615384615385,0.949852507374631,0.989276139410188,0.958620689655172,0.980662983425414,0.958466453674121,0.989154013015184,1
14,0.574660633484163,0.511363636363636,0.41304347826087,0.345238095238095,0.594548551959114,0.669230769230769,0.604719764011799,0.707774798927614,0.56551724137931,0.676795580110497,0.520766773162939,0.72234273318872,1
5,0.81447963800905,0.832386363636364,0.695652173913043,0.714285714285714,0.848381601362862,0.807692307692308,0.823008849557522,0.863270777479893,0.820689655172414,0.848066298342541,0.78594249201278,0.882863340563991,1
16,0.735294117647059,0.661931818181818,0.673913043478261,0.701949860724234,0.72572402044293,0.797435897435897,0.787610619469027,0.804289544235925,0.717241379310345,0.806629834254144,0.645367412140575,0.832971800433839,1
3,0.769230769230769,0.724431818181818,0.630434782608696,0.547619047619048,0.76320272572402,0.82051282051282,0.787610619469027,0.847184986595174,0.813793103448276,0.803867403314917,0.680511182108626,0.854663774403471,1
7,0.936651583710407,0.917613636363636,0.891304347826087,0.902506963788301,0.926746166950596,0.948717948717949,0.955752212389381,0.962466487935657,0.944827586206897,0.961325966850829,0.929712460063898,0.952277657266811,1
16,0.959276018099548,0.9375,0.956521739130435,0.88857938718663,0.945485519591141,0.976923076923077,0.952802359882006,0.983914209115281,0.951724137931034,0.966850828729282,0.945686900958466,0.956616052060738,1
