sample	TCGA_GTEX_main_category
GTEX-WH7G-1526-SM-4LVMX	GTEX Stomach
GTEX-WHSB-1226-SM-4M1XR	GTEX Stomach
GTEX-WHWD-1426-SM-4OORU	GTEX Stomach
GTEX-WRHK-0626-SM-4MVOE	GTEX Stomach
GTEX-WXYG-1626-SM-4ONCR	GTEX Stomach
GTEX-WY7C-1726-SM-4ONCC	GTEX Stomach
GTEX-WYJK-2526-SM-4ONDF	GTEX Stomach
GTEX-WYVS-1326-SM-4ONCQ	GTEX Stomach
GTEX-WZTO-2126-SM-4PQYW	GTEX Stomach
GTEX-X15G-1126-SM-4PQZG	GTEX Stomach
GTEX-XAJ8-0326-SM-47JYI	GTEX Stomach
GTEX-XBED-1226-SM-4AT5V	GTEX Stomach
GTEX-XQ8I-2026-SM-4BOOL	GTEX Stomach
GTEX-XUZC-0726-SM-4BOPH	GTEX Stomach
GTEX-XV7Q-1326-SM-4BRWM	GTEX Stomach
GTEX-XXEK-0826-SM-4BRWG	GTEX Stomach
GTEX-Y114-1226-SM-4TT88	GTEX Stomach
GTEX-Y3I4-1626-SM-4TT7W	GTEX Stomach
GTEX-Y3IK-1426-SM-4YCES	GTEX Stomach
GTEX-Y5LM-1326-SM-5RQIS	GTEX Stomach
GTEX-Y5V6-1326-SM-4VDTF	GTEX Stomach
GTEX-Y8E4-1526-SM-4WWDI	GTEX Stomach
GTEX-Y8LW-0826-SM-4WWDO	GTEX Stomach
GTEX-Y9LG-1026-SM-5IFJN	GTEX Stomach
GTEX-YEC3-1426-SM-4WWEM	GTEX Stomach
GTEX-YEC3-1426-SM-5PNXW	GTEX Stomach
GTEX-YEC4-1426-SM-5IFHS	GTEX Stomach
GTEX-YFCO-0826-SM-5LUAG	GTEX Stomach
GTEX-YJ8A-1526-SM-5P9FT	GTEX Stomach
GTEX-ZAB4-1526-SM-5CVN7	GTEX Stomach
GTEX-ZDYS-1926-SM-5HL59	GTEX Stomach
GTEX-ZE7O-3026-SM-51MS4	GTEX Stomach
GTEX-ZEX8-1626-SM-4WKG7	GTEX Stomach
GTEX-ZF29-1526-SM-4WKF7	GTEX Stomach
GTEX-ZF2S-1426-SM-57WET	GTEX Stomach
GTEX-ZLFU-1326-SM-4WWET	GTEX Stomach
GTEX-ZLV1-0826-SM-4WWEQ	GTEX Stomach
GTEX-ZP4G-1226-SM-4WWCJ	GTEX Stomach
GTEX-ZPIC-2026-SM-57WG3	GTEX Stomach
GTEX-ZQUD-0826-SM-57WDQ	GTEX Stomach
GTEX-ZTX8-0426-SM-59HLG	GTEX Stomach
GTEX-ZV6S-0926-SM-57WGB	GTEX Stomach
GTEX-ZV7C-1626-SM-5NQ7E	GTEX Stomach
GTEX-ZVP2-1626-SM-5GU5D	GTEX Stomach
GTEX-ZVT2-1626-SM-51MRC	GTEX Stomach
GTEX-ZVT3-2126-SM-59HL2	GTEX Stomach
GTEX-ZVZP-1726-SM-5GZWY	GTEX Stomach
GTEX-ZXES-1426-SM-5NQ8S	GTEX Stomach
GTEX-ZYFG-1326-SM-5GICJ	GTEX Stomach
GTEX-ZYVF-2726-SM-5GID4	GTEX Stomach
GTEX-ZYY3-1726-SM-5EGH3	GTEX Stomach
GTEX-ZZ64-0426-SM-5E43F	GTEX Stomach
GTEX-ZZPU-1426-SM-5GZZ6	GTEX Stomach
GTEX-111CU-1126-SM-5EGIM	GTEX Skin
GTEX-111CU-1926-SM-5GZYZ	GTEX Skin
GTEX-111FC-0126-SM-5N9DL	GTEX Skin
GTEX-111FC-2526-SM-5GZXU	GTEX Skin
GTEX-111VG-1626-SM-5EGIO	GTEX Skin
GTEX-111VG-2426-SM-5GZXD	GTEX Skin
GTEX-111YS-1526-SM-5GZYW	GTEX Skin
GTEX-1122O-2126-SM-5EGIR	GTEX Skin
GTEX-1128S-2326-SM-5GZZY	GTEX Skin
GTEX-113IC-0126-SM-5HL6T	GTEX Skin
GTEX-113JC-2326-SM-5EQ4E	GTEX Skin
GTEX-117XS-2726-SM-5N9BL	GTEX Skin
GTEX-117YW-2626-SM-5GZZH	GTEX Skin
GTEX-117YX-1926-SM-5GIEC	GTEX Skin
GTEX-117YX-2326-SM-5H12W	GTEX Skin
GTEX-1192X-0226-SM-5H12D	GTEX Skin
GTEX-1192X-2726-SM-5N9DN	GTEX Skin
GTEX-11DXW-0226-SM-5H122	GTEX Skin
GTEX-11DXW-0826-SM-5H118	GTEX Skin
GTEX-11DXX-2126-SM-5PNYR	GTEX Skin
GTEX-11DXX-2426-SM-5GZZW	GTEX Skin
GTEX-11DXY-0126-SM-5H11Q	GTEX Skin
GTEX-11DXY-2626-SM-5GIE7	GTEX Skin
GTEX-11DXZ-2026-SM-5987S	GTEX Skin
GTEX-11DXZ-2326-SM-5EGGV	GTEX Skin
GTEX-11DYG-0126-SM-59883	GTEX Skin
GTEX-11DYG-1526-SM-5A5JS	GTEX Skin
GTEX-11DZ1-0126-SM-5985Q	GTEX Skin
GTEX-11DZ1-2426-SM-5GZZX	GTEX Skin
GTEX-11EI6-0126-SM-5985R	GTEX Skin
GTEX-11EI6-2826-SM-5H11D	GTEX Skin
GTEX-11EM3-1226-SM-5N9DD	GTEX Skin
GTEX-11EM3-2426-SM-59861	GTEX Skin
GTEX-11EMC-2926-SM-5EQ4F	GTEX Skin
GTEX-11EQ8-0126-SM-5EQ54	GTEX Skin
GTEX-11EQ8-0926-SM-5H12V	GTEX Skin
GTEX-11EQ9-1626-SM-5PNY8	GTEX Skin
GTEX-11EQ9-2426-SM-5HL5T	GTEX Skin
GTEX-11GS4-2726-SM-5A5LE	GTEX Skin
GTEX-11GSO-2426-SM-5A5LY	GTEX Skin
GTEX-11H98-0126-SM-5EGHG	GTEX Skin
GTEX-11ILO-0126-SM-5A5LN	GTEX Skin
