Gene	GeneType
MRC1	wound
NSDHL	wound
NSF	wound
NUDT18	wound
PDE4DIP	wound
PDIA3	wound
PKD1	wound
PTPN4	wound
RAI14	wound
RCBTB2	wound
RDX	wound
RHOV	wound
RNF214	wound
SH3GLB2	wound
SLC6A8	wound
TBC1D9B	wound
TF	wound
TMEM129	wound
XPNPEP2	wound
ZFP64	wound
AHCY	wound
ALG5	wound
ATRN	wound
BBX	wound
BCL2L1	wound
BRF2	wound
CAPN2	wound
CCDC3	wound
CD164	wound
