Gene	GeneType
PPP1R12A	wound
RHOF	wound
SMARCA1	wound
TPM4	wound
ANXA2	wound
ARMC1	wound
COMMD3	wound
CTSH	wound
FABP5	wound
FXR1	wound
IPO5	wound
ITGB3	wound
ITM2B	wound
PSMA5	wound
APP	wound
CREM	wound
CXCL12	wound
FADS2	wound
GFPT1	wound
MBP	wound
MCFD2	wound
POSTN	wound
PTPN1	wound
SRSF9	wound
TMX3	wound
TUBA1B	wound
ARPC4	wound
ATIC	wound
DCN	wound
EDNRB	wound
GNAI2	wound
GRB2	wound
HCRTR2	wound
HSP90B1	wound
LEF1	wound
LMNA	wound
PRDX4	wound
SELL	wound
SPARCL1	wound
TXNRD1	wound
ACTN1	wound
AGPAT4	wound
ANGPT1	wound
CD14	wound
CDO1	wound
CLDND1	wound
FABP7	wound
GPM6B	wound
MTHFR	wound
PLAT	wound
TXNL1	wound
USP7	wound
VCL	wound
A2M	wound
ALB	wound
ARPC2	wound
CFLAR	wound
DESI2	wound
DPM1	wound
FN1	wound
FUT8	wound
GUSB	wound
LACTB2	wound
MALT1	wound
MMP3	wound
NOP58	wound
PLAA	wound
PPP1R11	wound
RBM5	wound
SFRP1	wound
SLC35F5	wound
SPP1	wound
THBS1	wound
TIMP1	wound
UBB	wound
ABHD5	wound
ACSL5	wound
ATG4C	wound
CPSF6	wound
DSTN	wound
GFAP	wound
HDAC3	wound
NTRK3	wound
PALMD	wound
PARM1	wound
PEA15	wound
PIGU	wound
RGS4	wound
RTCB	wound
SDHD	wound
SMAD4	wound
THY1	wound
TNFRSF12A	wound
TRA2A	wound
UCHL3	wound
VEGFA	wound
ANXA1	wound
APOA1	wound
CDC37	wound
CLU	wound
COPS2	wound
DAB2	wound
FOLR2	wound
GOLT1B	wound
IRF1	wound
LUM	wound
MAP1A	wound
NDUFV2	wound
NIP7	wound
NSDHL	wound
OGT	wound
OTUB1	wound
PFDN6	wound
PIK3AP1	wound
PPP1CB	wound
PPP3CB	wound
SLC39A7	wound
AGPAT5	wound
AR	wound
C1QTNF6	wound
CALU	wound
CDC123	wound
CFAP36	wound
CLEC3B	wound
CLN3	wound
CNOT1	wound
GAPDH	wound
HMGB2	wound
IGF1	wound
ITGA2	wound
JAG1	wound
KDELR2	wound
LY96	wound
MAGED1	wound
MTPN	wound
PPP2R2A	wound
PRKCB	wound
PSEN1	wound
PTMA	wound
RGCC	wound
SCD	wound
SNX6	wound
STAT4	wound
STT3B	wound
SYAP1	wound
TMED5	wound
WASF2	wound
ABCG2	wound
ACO1	wound
ARFGEF2	wound
BMP1	wound
CALD1	wound
CD47	wound
COMMD10	wound
ELAVL1	wound
FBN1	wound
FGFR1	wound
FOSL1	wound
GBA	wound
INPP4A	wound
INSR	wound
JMJD1C	wound
MYD88	wound
PRKAA1	wound
PRKRA	wound
PSMC2	wound
RPA2	wound
RPL5	wound
RPL7	wound
SLC15A2	wound
TMEM17	wound
TNFRSF1B	wound
TSPAN9	wound
VRK1	wound
ARGLU1	wound
CD8B	wound
CD8B2	wound
COL6A3	wound
COMT	wound
CSNK1A1	wound
FBXO32	wound
GPN3	wound
LARP4	wound
LRRC57	wound
MCHR1	wound
MEMO1	wound
MID1IP1	wound
NCOA2	wound
NSMCE4A	wound
PDE4A	wound
PDLIM5	wound
PECAM1	wound
PEG3	wound
PEX3	wound
PHF23	wound
PPARD	wound
PTN	wound
RASSF2	wound
RGS16	wound
RUVBL2	wound
SLC35A3	wound
SQLE	wound
TBC1D1	wound
TRA2B	wound
ZCCHC9	wound
ANGPTL2	wound
ANXA4	wound
ARL6IP5	wound
BID	wound
CA2	wound
CAPNS1	wound
CTH	wound
CTSS	wound
ERH	wound
EXOSC3	wound
F9	wound
FAM32A	wound
FLOT2	wound
FOS	wound
GPX4	wound
HLA-DMB	wound
HMGCS2	wound
IFIT3	wound
JAK2	wound
LGALS1	wound
MAPKAPK5	wound
OGFOD1	wound
POLR2B	wound
PRPF40A	wound
RDX	wound
RNASE10	wound
SFT2D1	wound
SLC11A1	wound
SLC2A4	wound
SORBS2	wound
SRP72	wound
TAF11	wound
TBCB	wound
TMBIM6	wound
TPD52	wound
TUBGCP3	wound
TXLNG	wound
UBE2D2	wound
VAV1	wound
WASL	wound
WDR92	wound
WTAP	wound
ACTA2	wound
ANGEL2	wound
BZW1	wound
CCNH	wound
CD164	wound
CILP	wound
CXCL6	wound
DHX9	wound
DSN1	wound
DUOX2	wound
EPCAM	wound
EPHX1	wound
ERGIC2	wound
GIT2	wound
GNB5	wound
IL13RA1	wound
IL4R	wound
INSL3	wound
KDELR3	wound
LCLAT1	wound
LYST	wound
MPDU1	wound
NFYB	wound
NQO1	wound
RAB28	wound
RCC2	wound
RECQL	wound
RND3	wound
RPS6KA1	wound
RXRA	wound
SAT1	wound
SLC25A14	wound
SLC25A3	wound
SPINT1	wound
SREBF2	wound
TFPI2	wound
THBS3	wound
TLR1	wound
TPM3	wound
ZDHHC3	wound
ADCK2	wound
ADGB	wound
ARF1	wound
ATP1B1	wound
COPS5	wound
CPPED1	wound
CYB5B	wound
DHRS11	wound
EAF1	wound
EGR1	wound
FAM219B	wound
GGNBP2	wound
GPR108	wound
GSS	wound
HMGA1	wound
HTR2B	wound
IVD	wound
KLF10	wound
MIF	wound
MMGT1	wound
MTDH	wound
NPEPL1	wound
OSTC	wound
P2RX4	wound
PODN	wound
PTPMT1	wound
RCOR1	wound
RSF1	wound
S100A10	wound
SEC23A	wound
SLC50A1	wound
SLC7A1	wound
STX5	wound
TEK	wound
TFAM	wound
TGFB3	wound
TIAL1	wound
TLR4	wound
TMEM242	wound
ZC3H7A	wound
ZRANB2	wound
ABCB11	wound
ABLIM1	wound
ANAPC5	wound
APEX2	wound
CCR1	wound
CKAP4	wound
DDX39B	wound
EXOSC7	wound
FSCN1	wound
HBEGF	wound
IKBKG	wound
IL10	wound
INIP	wound
IRF7	wound
ITM2A	wound
LRRC59	wound
MSH2	wound
MSMO1	wound
NCF1	wound
NIFK	wound
NME1	wound
NPL	wound
