label	gene
upregulated.regen	DOCK10
upregulated.regen	DSC2
upregulated.regen	DSC3
upregulated.regen	E2F3
upregulated.regen	E2F8
upregulated.regen	ECM1
upregulated.regen	ECT2
upregulated.regen	EFEMP1
upregulated.regen	EIF4A1
upregulated.regen	EIF4A3
upregulated.regen	EIF4H
upregulated.regen	ELL2
upregulated.regen	EML1
upregulated.regen	EPDR1
upregulated.regen	ETF1
upregulated.regen	F5
upregulated.regen	FADS6
upregulated.regen	FAH
upregulated.regen	FAM169A
upregulated.regen	FAP
upregulated.regen	FBLIM1
upregulated.regen	FGD6
upregulated.regen	FGF12
upregulated.regen	FGL1
upregulated.regen	FLT3LG
upregulated.regen	FMN2
upregulated.regen	FN1
upregulated.regen	FOXC1
upregulated.regen	FTH1
upregulated.regen	FXYD5
upregulated.regen	G0S2
upregulated.regen	GABRG1
upregulated.regen	GALNT12
upregulated.regen	GCOM1
upregulated.regen	GDA
upregulated.regen	GLDC
upregulated.regen	GNGT1
upregulated.regen	GNMT
upregulated.regen	GOT1
upregulated.regen	GPR37
upregulated.regen	GPR65
upregulated.regen	GRIN2D
upregulated.regen	GSTA4
upregulated.regen	GYPC
upregulated.regen	HBZ
upregulated.regen	HCK
upregulated.regen	HCN4
upregulated.regen	HIVEP2
upregulated.regen	HLA-DPB1
upregulated.regen	HMGCR
upregulated.regen	HNRNPM
upregulated.regen	HSPA2
upregulated.regen	IGFBP2
upregulated.regen	IGFBP6
upregulated.regen	IL5RA
upregulated.regen	IL6ST
upregulated.regen	INHBA
upregulated.regen	INPP4A
upregulated.regen	IRGC
upregulated.regen	ITGAX
upregulated.regen	ITPKC
upregulated.regen	KIF15
upregulated.regen	KIF4A
upregulated.regen	KPNA2
upregulated.regen	KRTAP4-3
upregulated.regen	LAMB3
upregulated.regen	LAMC2
upregulated.regen	LCP1
upregulated.regen	LGALS9
upregulated.regen	LIMA1
upregulated.regen	LRRC31
upregulated.regen	LRRN1
upregulated.regen	LRTOMT
upregulated.regen	MAL2
