gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less7,mmusculus_stress_up_Fraction_sp_less6,mmusculus_stress_up_Fraction_sp_less5,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
FRMD8,0.31462298241387615,0.2881233437725849,0.18838834015899783,0.06528547337990846,0.012165743194410985,0.00012045290291496025,0.00012045290291496025,0.0
IMMP1L,0.30137316309323053,0.22006745362563238,0.09130330040953986,0.015779330281859794,0.0010840761262346423,0.0,0.0,0.0
SPICE1,0.3172729462780053,0.30402312695735967,0.2345218019754276,0.10226451457480125,0.025536015417971573,0.0026499638641291254,0.0026499638641291254,0.0
FRMD6,0.3177547578896651,0.29884365213201636,0.21284027945073478,0.09792821006986269,0.025656468320886534,0.0018067935437244037,0.0016863406408094434,0.00012045290291496025
FRMD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKNOX2,0.29715731149120694,0.20597446398458202,0.07251264755480608,0.014815707058540111,0.0006022645145748012,0.00012045290291496025,0.0,0.00012045290291496025
MED13L,0.3194410985304746,0.31040713081185256,0.25126475548060706,0.13261864610937124,0.03456998313659359,0.003252228378703927,0.003252228378703927,0.0
CYP26C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPF2,0.31739339918092024,0.29860274632618644,0.20946759816911587,0.06624909660322814,0.00481811611659841,0.000481811611659841,0.000481811611659841,0.0
DPF3,0.30293905083112505,0.2269332690917851,0.09226692363285956,0.013249819320645628,0.0015658877378944833,0.0,0.0,0.0
DPF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS45,0.31570705854011083,0.284871115393881,0.17622259696458684,0.0469766321368345,0.006022645145748013,0.0002409058058299205,0.0002409058058299205,0.0
VPS41,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
BCAP29,0.318236569501325,0.2987231992291014,0.2209106239460371,0.09877138039026741,0.020356540592628283,0.0008431703204047217,0.0007227174174897615,0.00012045290291496025
RPL36A,0.309082148879788,0.263550951577933,0.139364008672609,0.02830643218501566,0.005902192242833052,0.0030113225728740063,0.002890869669959046,0.00012045290291496025
VPS4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMEB2,0.29715731149120694,0.21958564201397254,0.08720790171043122,0.017827029631414117,0.0016863406408094434,0.00012045290291496025,0.00012045290291496025,0.0
GMEB1,0.30595037340399905,0.25234883160684174,0.12213924355576969,0.031317754757889664,0.00493856901951337,0.000481811611659841,0.000481811611659841,0.0
PPP1R15A,0.2836665863647314,0.18658154661527343,0.08985786557456035,0.018429294145988918,0.002529510961214165,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
PPP1R15B,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
BLMH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLF13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
KLF12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
KLF11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBAG9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLF16,0.31402071789930136,0.2782462057335582,0.16309323054685618,0.05167429535051795,0.00457721031076849,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
KLF15,0.08118525656468321,0.016381594796434595,0.0012045290291496024,0.0002409058058299205,0.00012045290291496025,0.0,0.0,0.0
GBE1,0.2584919296555047,0.11888701517706576,0.025897374126716454,0.0016863406408094434,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
FAM69B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM69A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS1,0.318236569501325,0.30462539147193446,0.23536497229583234,0.08865333654541074,0.01987472898096844,0.002288605155384245,0.002288605155384245,0.0
NDUFS3,0.31920019272464467,0.30739580823897855,0.2460852806552638,0.10623946037099494,0.023608768971332208,0.005420380631173212,0.005420380631173212,0.0
NDUFS4,0.296916405685377,0.21717658395567332,0.06552637918573838,0.014695254155625151,0.0015658877378944833,0.00012045290291496025,0.00012045290291496025,0.0
NDUFS5,0.31763430498675016,0.30354131534569984,0.2390990122861961,0.10419176102144062,0.016742953505179476,0.001927246446639364,0.0018067935437244037,0.00012045290291496025
NDUFS6,0.31871838111298484,0.3058299205010841,0.236328595519152,0.09720549265237292,0.02348831606841725,0.006384003854492893,0.006263550951577933,0.00012045290291496025
NDUFS7,0.3172729462780053,0.2954709708503975,0.20199951818838835,0.06685136111780295,0.012406649000240905,0.0013249819320645627,0.0013249819320645627,0.0
NDUFS8,0.31871838111298484,0.3081185256564683,0.2582510238496748,0.1139484461575524,0.02421103348590701,0.00493856901951337,0.00481811611659841,0.00012045290291496025
FAM198A,0.3128161888701518,0.2693326909178511,0.1569501324981932,0.06335822693326909,0.011563478679836184,0.00012045290291496025,0.00012045290291496025,0.0
FAM198B,0.3175138520838352,0.29414598891833293,0.20886533365454107,0.0869669959046013,0.017827029631414117,0.0002409058058299205,0.0002409058058299205,0.0
