gene_mmusculus_stress_down,mmusculus_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less3,mmusculus_stress_down_Fraction_sp_less2,mmusculus_stress_down_Fraction_sp_1,mmusculus_stress_down_Fraction_sp_0
UST,0.08878504672897196,0.003953989935298346,0.0002875629043853343,0.0002875629043853343,0.0
CHST14,0.08921639108554996,0.0038102084831056794,7.189072609633358e-05,7.189072609633358e-05,0.0
RAG1,0.20747663551401868,0.01128684399712437,0.0,0.0,0.0
CHST2,0.019482386772106397,0.0006470165348670022,0.00014378145219266715,0.00014378145219266715,0.0
CHST4,0.0,0.0,0.0,0.0,0.0
CHST8,0.100215672178289,0.003235082674335011,0.0,0.0,0.0
CHTF18,0.26542056074766357,0.05276779295470884,0.0005751258087706686,0.000503235082674335,7.189072609633358e-05
CHTF8,0.19460819554277498,0.016462976276060387,0.00043134435657800146,0.00043134435657800146,0.0
DDX11,0.20546369518332136,0.01574406901509705,0.0003594536304816679,0.0003594536304816679,0.0
DSCC1,0.23925233644859814,0.029043853342918764,0.000503235082674335,0.00043134435657800146,7.189072609633358e-05
CUEDC2,0.27469446441409057,0.054277498202731846,0.0005751258087706686,0.0005751258087706686,0.0
NFKBIE,0.2675772825305536,0.04529115744069015,0.000503235082674335,0.00043134435657800146,7.189072609633358e-05
NLRP4,0.13227893601725377,0.0034507548526240116,7.189072609633358e-05,7.189072609633358e-05,0.0
TAB2,0.2864845434938893,0.08238677210639828,0.0010783608914450035,0.0010783608914450035,0.0
TRPC4AP,0.2730409777138749,0.06355140186915888,0.000503235082674335,0.000503235082674335,0.0
CHURC1,0.061897915168943204,0.0010783608914450035,7.189072609633358e-05,7.189072609633358e-05,0.0
ZBTB9,0.25959741193386054,0.028109273903666427,0.0006470165348670022,0.0005751258087706686,7.189072609633358e-05
FAM96A,0.1657800143781452,0.01128684399712437,7.189072609633358e-05,7.189072609633358e-05,0.0
FAM96B,0.17354421279654925,0.003882099209202013,0.00014378145219266715,0.00014378145219266715,0.0
CIB1,0.25514018691588786,0.024227174694464414,0.000503235082674335,0.000503235082674335,0.0
NBR1,0.2569374550682962,0.04356578001437814,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
PAX3,0.2800143781452193,0.07225017972681524,0.0006470165348670022,0.0006470165348670022,0.0
CIB2,0.1766355140186916,0.007836089144500359,7.189072609633358e-05,7.189072609633358e-05,0.0
TRIM22,0.26606757728253055,0.052839683680805175,0.0002875629043853343,0.0002875629043853343,0.0
CIDEA,0.13817397555715313,0.00301941049604601,0.0,0.0,0.0
CIDEB,0.23026599568655642,0.017253774263120056,0.0002875629043853343,0.0002875629043853343,0.0
LPAR6,0.11919482386772107,0.003953989935298346,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
CIDEC,0.19223580158159598,0.009273903666427032,7.189072609633358e-05,7.189072609633358e-05,0.0
HLA-DQB2,0.10014378145219267,0.0019410496046010064,0.0,0.0,0.0
RFXAP,0.23443565780014378,0.015384615384615385,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
ZXDC,0.2263120057512581,0.013227893601725377,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
CILP,0.20783608914450036,0.014378145219266714,0.0,0.0,0.0
CINP,0.10567936736161035,0.001869158878504673,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
CIR1,0.24867002156721782,0.03321351545650611,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
RBPJL,0.2775700934579439,0.06542056074766354,0.00043134435657800146,0.00043134435657800146,0.0
LXN,0.23803019410496046,0.03098490294751977,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
HEATR1,0.26477354421279653,0.05147375988497484,0.0007907979870596693,0.0007189072609633358,7.189072609633358e-05
WDR43,0.2578001437814522,0.04672897196261682,0.0003594536304816679,0.0003594536304816679,0.0
CISD2,0.1297627606038821,0.007117181883537024,0.0,0.0,0.0
CISD3,0.21265276779295472,0.025880661394680086,0.0,0.0,0.0
CISH,0.2813803019410496,0.08217109992810927,0.00100647016534867,0.0009345794392523365,7.189072609633358e-05
IL2RB,0.2839683680805176,0.099568655643422,0.0013659237958303378,0.0013659237958303378,0.0
IL3RA,0.25341480948957584,0.0304097771387491,0.0007189072609633358,0.0007189072609633358,0.0
PRLR,0.2782890007189073,0.06736161035226455,0.0005751258087706686,0.0005751258087706686,0.0
