gene_xlaevis_wound_down,xlaevis_wound_down_Fraction_sp_less7,xlaevis_wound_down_Fraction_sp_less6,xlaevis_wound_down_Fraction_sp_less5,xlaevis_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less3,xlaevis_wound_down_Fraction_sp_less2,xlaevis_wound_down_Fraction_sp_1,xlaevis_wound_down_Fraction_sp_0
ZCCHC8,0.06301718650541056,0.02143008699342245,0.008062805007426267,0.002546148949713558,0.000424358158285593,0.0,0.0,0.0
ZCCHC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCCHC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCCHC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCCHC4,0.015701251856566942,0.004243581582855931,0.001273074474856779,0.0,0.0,0.0,0.0,0.0
RENBP,0.06407808190112455,0.028856354763420328,0.013155102906853384,0.007426267769997878,0.004243581582855931,0.0,0.0,0.0
ARID3B,0.10099724167197115,0.07171652875026523,0.03373647358370465,0.012518565669424995,0.0019096117122851686,0.0002121790791427965,0.0002121790791427965,0.0
C6orf136,0.07214088690855082,0.03479736897941863,0.022703161468279227,0.0182474008062805,0.007426267769997878,0.0002121790791427965,0.0002121790791427965,0.0
CT62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C19orf43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECAB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECAB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDELR2,0.041374920432845325,0.011669849352853808,0.005304476978569913,0.003607044345427541,0.0021217907914279654,0.000424358158285593,0.000424358158285593,0.0
KDELR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST14,0.1162741353702525,0.08296201994483345,0.05580309781455548,0.02673456397199236,0.009548058561425843,0.002546148949713558,0.002546148949713558,0.0
ST13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTYH,0.08890303416083174,0.042011457670273714,0.011882028431996604,0.0038192234245703373,0.0010608953957139827,0.0002121790791427965,0.0,0.0002121790791427965
AKT1S1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PLEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NELL1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
NELL2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PLEK,0.09632930193082961,0.058349246764269044,0.025461489497135583,0.011882028431996604,0.006577551453426692,0.003394865266284744,0.003394865266284744,0.0
GOT1L1,0.0023339698705707617,0.0019096117122851686,0.0010608953957139827,0.0006365372374283895,0.000424358158285593,0.0,0.0,0.0
SPOCK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPOCK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTN3A2,0.09505622745597284,0.049013367281986,0.021005728835136857,0.0076384468491406746,0.001273074474856779,0.0,0.0,0.0
FNBP4,0.08847867600254615,0.04625503925312964,0.01336728198599618,0.0038192234245703373,0.000848716316571186,0.0,0.0,0.0
ZNF747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTRAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF13B,0.09017610863568852,0.05134733715255676,0.026522384892849565,0.011882028431996604,0.0046679397411415234,0.0,0.0,0.0
TNFRSF13C,0.07977933375769149,0.039253129641417354,0.019732654360280075,0.008062805007426267,0.000424358158285593,0.0,0.0,0.0
YTHDC1,0.08508381073626141,0.05368130702312752,0.01782304264799491,0.00551665605771271,0.0021217907914279654,0.000424358158285593,0.000424358158285593,0.0
YTHDC2,0.07680882664969234,0.034585189900275835,0.01103331211542542,0.002758328028856355,0.000424358158285593,0.0,0.0,0.0
TRPS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCLM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRHL1,0.06131975387226819,0.029068533842563124,0.012730744748567792,0.007426267769997878,0.002546148949713558,0.0002121790791427965,0.0002121790791427965,0.0
GRHL2,0.10120942075111394,0.07001909611712286,0.036494801612561,0.016125610014852534,0.008487163165711862,0.002758328028856355,0.002758328028856355,0.0
GRHL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCLC,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
NR3C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR3C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEC23IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAPSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIPI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIPI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKDCC,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CSRP1,0.10715043496711224,0.08253766178654785,0.054954381497984296,0.03416083174199024,0.018459579885423297,0.0021217907914279654,0.0021217907914279654,0.0
CSRP3,0.25,0.25,0.25,0.25,0.16666666666666666,0.0,0.0,0.0
CSRP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFLAM,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ATP6V1F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1A,0.08932739231911734,0.060046679397411415,0.03904095056227456,0.020369191597708464,0.004031402503713134,0.0,0.0,0.0
DTL,0.07171652875026523,0.03904095056227456,0.020157012518565668,0.007850625928283471,0.002546148949713558,0.001273074474856779,0.001273074474856779,0.0
ATP6V1H,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
RAP1GDS1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PDE6B,0.02567366857627838,0.007426267769997878,0.0019096117122851686,0.0006365372374283895,0.0,0.0,0.0,0.0
PDE6C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE6G,0.05304476978569913,0.026522384892849565,0.0120942075111394,0.004455760661998727,0.000424358158285593,0.0,0.0,0.0
PDE6D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL11RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE6H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM19,0.0670485890091237,0.02312751962656482,0.009548058561425843,0.003607044345427541,0.0002121790791427965,0.0,0.0,0.0
RBM18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MVP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MVD,0.03267557818799066,0.007001909611712286,0.000848716316571186,0.000424358158285593,0.000424358158285593,0.0,0.0,0.0
MVK,0.03267557818799066,0.007001909611712286,0.000848716316571186,0.000424358158285593,0.000424358158285593,0.0,0.0,0.0
ALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCLA2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ALB,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0
RELL2,0.060046679397411415,0.03904095056227456,0.020369191597708464,0.004031402503713134,0.0,0.0,0.0,0.0
RFT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF14,0.054954381497984296,0.020581370676851264,0.007426267769997878,0.000848716316571186,0.0,0.0,0.0,0.0
ZNF16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF10,0.06386590282198175,0.027795459367706343,0.010608953957139827,0.003394865266284744,0.0002121790791427965,0.0,0.0,0.0
ZNF12,0.05728835136855506,0.018459579885423297,0.007214088690855082,0.000848716316571186,0.0002121790791427965,0.0,0.0,0.0
SELPLG,0.09569276469340122,0.056015276893698285,0.028431996605134735,0.012730744748567792,0.006365372374283896,0.0023339698705707617,0.0023339698705707617,0.0
RRN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPIN2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
LILRA6,0.08465945257797582,0.049013367281986,0.02376405686399321,0.010608953957139827,0.00551665605771271,0.000848716316571186,0.000848716316571186,0.0
UPRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASNSD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCAND1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRREL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRREL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STK17B,0.10587736049225546,0.05856142584341184,0.028431996605134735,0.012942923827710588,0.005092297899427116,0.0002121790791427965,0.0002121790791427965,0.0
STK17A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZC3H11A,0.02143008699342245,0.008062805007426267,0.002546148949713558,0.000424358158285593,0.0,0.0,0.0,0.0
CYB5R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYB5R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYB5R2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CYB5R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SECTM1,0.0916613621896881,0.05283259070655633,0.02503713133884999,0.010821133036282623,0.003394865266284744,0.0,0.0,0.0
