gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
FCGR3A,0.25062240663900415,0.07499056959637873,0.008147868728781591,0.008147868728781591,0.0
FCGR3B,0.1938136552244436,0.031610712938513766,0.0012070916635231988,0.0012070916635231988,0.0
ALDH1A1,0.22451904941531498,0.02814032440588457,0.0005281026027913995,0.00045265937382119953,7.544322897019993e-05
ALDH1A2,0.23289324783100718,0.05763862693323274,0.0008298755186721991,0.0008298755186721991,0.0
ALDH1A3,0.15669558657110524,0.016899283289324784,7.544322897019993e-05,7.544322897019993e-05,0.0
MRPS6,0.0,0.0,0.0,0.0,0.0
EYA1,0.17623538287438703,0.012523576009053187,0.0003017729158807997,0.0003017729158807997,0.0
EYA3,0.24835910976989814,0.07913994718973973,0.000980761976612599,0.000980761976612599,0.0
EYA2,0.24541682384006036,0.06163711806865334,0.0017351942663145982,0.0016597510373443983,7.544322897019993e-05
CD24,0.2626933232742361,0.13572236891738967,0.01041116559788759,0.01041116559788759,0.0
CEBPD,0.24519049415314975,0.06088268577895134,0.0017351942663145982,0.0016597510373443983,7.544322897019993e-05
FAM26E,0.2613353451527725,0.12470765748774047,0.015692191625801585,0.015692191625801585,0.0
FXYD6,0.26307053941908715,0.14017351942663145,0.010562052055827989,0.010562052055827989,0.0
FXYD7,0.23923047906450395,0.044209732176537155,0.0007544322897019992,0.0007544322897019992,0.0
FXYD2,0.17306676725763862,0.013881554130516786,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
MTBP,0.2583176159939645,0.12229347416069408,0.005809128630705394,0.005733685401735194,7.544322897019993e-05
FXYD1,0.26435307431158056,0.15360241418332704,0.008902301018483591,0.008902301018483591,0.0
MAFK,0.24820822331195774,0.06774801961523953,0.001886080724254998,0.0018106374952847981,7.544322897019993e-05
MAFA,0.0,0.0,0.0,0.0,0.0
MAFB,0.26027913994718976,0.11693700490380989,0.005054696341003395,0.005054696341003395,0.0
MAFF,0.25469634100339494,0.08691059977367031,0.0029422859298377972,0.002866842700867597,7.544322897019993e-05
MAFG,0.2033195020746888,0.013579781214635987,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
RBPJ,0.26118445869483214,0.14024896265560166,0.007167106752168993,0.007091663523198793,7.544322897019993e-05
CCR10,0.2613353451527725,0.12440588457185968,0.004828366654092795,0.004828366654092795,0.0
RBP1,0.25175405507355714,0.07355714824594492,0.0015843078083741984,0.0015088645794039985,7.544322897019993e-05
RBP2,0.09038098830629951,0.0036212749905695962,7.544322897019993e-05,7.544322897019993e-05,0.0
RBP4,0.14749151263674085,0.005205582798943795,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
RBP5,0.24549226706903055,0.05597887589588835,0.0008298755186721991,0.0008298755186721991,0.0
WDR53,0.16627687665032062,0.013278008298755186,0.00015088645794039985,0.00015088645794039985,0.0
MAF1,0.25409279517163336,0.08359109769898151,0.0021878536401357977,0.0021878536401357977,0.0
CHTF8,0.24360618634477554,0.057035081101471145,0.0005281026027913995,0.00045265937382119953,7.544322897019993e-05
G6PC3,0.24579403998491137,0.05454545454545454,0.001056205205582799,0.001056205205582799,0.0
G6PC2,1.0,1.0,1.0,0.0,1.0
CYGB,0.24820822331195774,0.07823462844209732,0.005809128630705394,0.005809128630705394,0.0
FAT2,0.24315352697095435,0.05084873632591475,0.0018106374952847981,0.0018106374952847981,0.0
TSC2,0.26058091286307056,0.12297246322142588,0.01010939268200679,0.01010939268200679,0.0
TSC1,0.26035458317615995,0.12168992832893248,0.010562052055827989,0.010562052055827989,0.0
RCN3,0.25605431912485854,0.10433798566578649,0.004073934364390796,0.004073934364390796,0.0
RCN2,0.25763862693323275,0.1010184835910977,0.0024141833270463976,0.0024141833270463976,0.0
RCN1,0.24866088268577896,0.08253489249339872,0.003998491135420596,0.003923047906450396,7.544322897019993e-05
PSG9,0.0,0.0,0.0,0.0,0.0
RHOV,0.25907204828366653,0.0939268200678989,0.008600528102602792,0.008600528102602792,0.0
RHOU,1.0,1.0,1.0,0.0,1.0
RHOJ,0.26359864202187855,0.14635986420218786,0.016220294228592985,0.016144850999622783,7.544322897019993e-05
RHOH,0.26201433421350434,0.13323274236137306,0.021425877027536778,0.02135043379856658,7.544322897019993e-05
RHOC,0.25243304413428896,0.09045643153526971,0.0033195020746887966,0.003244058845718597,7.544322897019993e-05
RHOB,0.25763862693323275,0.1032817804602037,0.004903809883062995,0.004903809883062995,0.0
RHOA,0.26420218785364014,0.13956997359486986,0.0063372312334967935,0.0063372312334967935,0.0
RHOG,0.25960015088645794,0.11467370803470389,0.005809128630705394,0.005809128630705394,0.0
SUV420H1,0.24986797434930216,0.08344021124104112,0.006110901546586194,0.006110901546586194,0.0
SUV420H2,0.26012825348924934,0.11565447001131648,0.006035458317615994,0.006035458317615994,0.0
RHOD,0.23998491135420597,0.04956620143342135,0.0015088645794039985,0.0015088645794039985,0.0
CIR1,0.22557525462089778,0.046850245190494154,0.000980761976612599,0.000980761976612599,0.0
SMC4,0.23289324783100718,0.052508487363259145,0.002112410411165598,0.002036967182195398,7.544322897019993e-05
OGFOD2,0.26495662014334215,0.16288193134666162,0.008449641644662392,0.008449641644662392,0.0
RASGRF1,0.22700867597133156,0.035533760844964166,0.0006789890607317993,0.0006035458317615994,7.544322897019993e-05
RASGRF2,0.25801584307808373,0.1099962278385515,0.0035458317615993966,0.0035458317615993966,0.0
MEIG1,0.23010184835910977,0.033270463975858165,0.00015088645794039985,0.00015088645794039985,0.0
ZNF483,0.26382497170878916,0.15496039230479064,0.014862316107129386,0.014786872878159186,7.544322897019993e-05
ZNF484,0.25771407016220294,0.11188230856280648,0.007167106752168993,0.007091663523198793,7.544322897019993e-05
ZNF485,0.2259524707657488,0.04126744624669936,0.0006789890607317993,0.0006035458317615994,7.544322897019993e-05
NCS1,0.2591474915126367,0.11188230856280648,0.005507355714824595,0.005431912485854395,7.544322897019993e-05
PRPF19,0.22346284420973217,0.02949830252734817,0.00045265937382119953,0.00045265937382119953,0.0
PRPF18,0.22874387023764617,0.03576009053187476,0.0006035458317615994,0.0006035458317615994,0.0
HIGD1A,0.24888721237268954,0.0885703508110147,0.002263296869105998,0.002263296869105998,0.0
HIGD1B,0.23191248585439456,0.053187476423990944,0.001056205205582799,0.000980761976612599,7.544322897019993e-05
FAM179B,0.2634477555639381,0.14703885326291966,0.009128630705394191,0.009128630705394191,0.0
TRAF1,0.25567710298000756,0.1073557148245945,0.003093172387778197,0.003017729158807997,7.544322897019993e-05
TRAF2,0.25258393059222933,0.08532629196529612,0.002112410411165598,0.002036967182195398,7.544322897019993e-05
TRAF3,0.23025273481705016,0.03983402489626556,0.0009053187476423991,0.0008298755186721991,7.544322897019993e-05
TRAF4,0.2626933232742361,0.13036589966050546,0.008298755186721992,0.008298755186721992,0.0
TRAF5,0.25620520558279897,0.11738966427763109,0.003017729158807997,0.0029422859298377972,7.544322897019993e-05
TRAF6,0.22565069784986796,0.04330441342889476,0.000980761976612599,0.000980761976612599,0.0
TRAF7,0.24669935873255375,0.06586193889098453,0.0006035458317615994,0.0006035458317615994,0.0
ESD,0.2626933232742361,0.13119577517917766,0.007695209354960392,0.007619766125990192,7.544322897019993e-05
METTL12,0.17178423236514523,0.024443606186344776,0.00022632968691059977,0.00022632968691059977,0.0
METTL13,0.23643907959260657,0.044813278008298756,0.0014334213504337986,0.0014334213504337986,0.0
METTL10,0.23093172387778196,0.048811769143719354,0.00022632968691059977,0.00022632968691059977,0.0
NPR1,0.26035458317615995,0.11316484345529988,0.013278008298755186,0.013278008298755186,0.0
NPR2,0.2640513013956997,0.14613353451527725,0.011316484345529988,0.011241041116559788,7.544322897019993e-05
NPR3,0.197736703130894,0.03206337231233497,0.00045265937382119953,0.0003772161448509996,7.544322897019993e-05
TMEM184A,0.26261788004526593,0.12908336476801208,0.009883062995096191,0.00980761976612599,7.544322897019993e-05
TMEM184C,0.18347793285552622,0.009053187476423991,0.00015088645794039985,0.00015088645794039985,0.0
OR5A1,0.03410033949453037,0.0036212749905695962,0.001131648434552999,0.001131648434552999,0.0
NRSN1,0.23583553376084496,0.047076574877404756,0.003017729158807997,0.003017729158807997,0.0
NUAK2,0.2645794039984911,0.15812900792153906,0.013051678611844588,0.013051678611844588,0.0
POLR1A,0.24058845718596755,0.06103357223689174,0.0029422859298377972,0.0029422859298377972,0.0
POLR1B,0.24677480196152396,0.07091663523198793,0.0027913994718973974,0.0027913994718973974,0.0
POLR1C,0.25492267069030555,0.0980761976612599,0.0036967182195397964,0.0036967182195397964,0.0
POLR1D,0.23183704262542437,0.04473783477932856,0.00022632968691059977,0.00022632968691059977,0.0
POLR1E,0.24730290456431536,0.06525839305922293,0.0016597510373443983,0.0016597510373443983,0.0
DUS1L,0.2605054696341003,0.12998868351565446,0.0033195020746887966,0.0033195020746887966,0.0
GRM8,0.23545831761599398,0.042927197284043754,0.0006035458317615994,0.0006035458317615994,0.0
NR1H4,0.24858543945680875,0.05628064881176914,0.0016597510373443983,0.0016597510373443983,0.0
GRM5,0.25514900037721616,0.08102602791399471,0.002866842700867597,0.0027913994718973974,7.544322897019993e-05
