gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
MAPK3,1.0,1.0,1.0,0.0,1.0
MAPK1,0.0,0.0,0.0,0.0,0.0
MAPK6,0.0,0.0,0.0,0.0,0.0
MAPK7,0.0,0.0,0.0,0.0,0.0
BCO2,0.0,0.0,0.0,0.0,0.0
MAPK8,0.0,0.0,0.0,0.0,0.0
MAPK9,0.0,0.0,0.0,0.0,0.0
CUZD1,0.0,0.0,0.0,0.0,0.0
LYL1,0.029031616623583216,0.003976933784052496,0.0,0.0,0.0
BCOR,1.0,1.0,1.0,0.0,1.0
VWA3B,0.0,0.0,0.0,0.0,0.0
THNSL2,1.0,1.0,1.0,0.0,1.0
THNSL1,0.00039769337840524953,0.00039769337840524953,0.00019884668920262477,0.0,0.00019884668920262477
CCL11,0.0,0.0,0.0,0.0,0.0
CCL13,0.0,0.0,0.0,0.0,0.0
CCL14,0.0,0.0,0.0,0.0,0.0
CCL15,0.0,0.0,0.0,0.0,0.0
GPBP1L1,0.0,0.0,0.0,0.0,0.0
CCL17,0.0,0.0,0.0,0.0,0.0
CCL18,0.0,0.0,0.0,0.0,0.0
STAT5B,1.0,1.0,1.0,0.0,1.0
STAT5A,1.0,1.0,1.0,0.0,1.0
C1QTNF1,0.0,0.0,0.0,0.0,0.0
SERPINA1,0.04314973155696958,0.011533107973752238,0.0007953867568104991,0.0005965400676078744,0.00019884668920262477
SERPINA3,1.0,1.0,1.0,0.0,1.0
SERPINA4,0.0,0.0,0.0,0.0,0.0
SERPINA5,0.0,0.0,0.0,0.0,0.0
SERPINA6,0.0,0.0,0.0,0.0,0.0
SERPINA7,0.0023861602704314975,0.0015907735136209981,0.000994233446013124,0.0007953867568104991,0.00019884668920262477
ZC3HC1,1.0,1.0,1.0,0.0,1.0
FOXRED2,1.0,1.0,1.0,0.0,1.0
CREB3L1,0.0,0.0,0.0,0.0,0.0
SNORA31,0.0,0.0,0.0,0.0,0.0
SYNPO,1.0,1.0,1.0,0.0,1.0
CTC1,0.02585006959634122,0.005368860608470869,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
ANP32E,0.0,0.0,0.0,0.0,0.0
