gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
DGCR8,0.29980699120737725,0.29923511330330976,0.015726642361855742,0.01565515762384731,7.14847380084352e-05
WDR45,0.29980699120737725,0.2975194795911073,0.008649653299020659,0.008649653299020659,0.0
LSM1,0.29980699120737725,0.2995210522553435,0.022017299306598043,0.021945814568589607,7.14847380084352e-05
SESN2,0.29980699120737725,0.2986632353992423,0.012295374937450854,0.012223890199442419,7.14847380084352e-05
RGCC,0.29980699120737725,0.2986632353992423,0.010579741225248409,0.010579741225248409,0.0
IMMP2L,0.29980699120737725,0.2995210522553435,0.015083279719779828,0.015011794981771392,7.14847380084352e-05
PMF1,0.29980699120737725,0.2976624490671242,0.006290656944742298,0.006290656944742298,0.0
KIAA0226,0.29980699120737725,0.2965186932589892,0.007577382228894131,0.007577382228894131,0.0
OR4C46,0.29980699120737725,0.27135606548002,0.0018586031882193153,0.0018586031882193153,0.0
MTDH,0.29980699120737725,0.2995210522553435,0.014940310243762956,0.014940310243762956,0.0
MBD5,0.29980699120737725,0.2973765101150904,0.007005504324826649,0.006934019586818214,7.14847380084352e-05
HINFP,0.29980699120737725,0.2977339338051326,0.008077775394953177,0.008077775394953177,0.0
ZNF655,0.29980699120737725,0.2954464221888627,0.006076202730716992,0.006076202730716992,0.0
KLHDC4,0.29980699120737725,0.2947315748087783,0.010150832797197798,0.010079348059189364,7.14847380084352e-05
CEP76,0.29980699120737725,0.2934448495246265,0.005432840088641075,0.005432840088641075,0.0
BBX,0.29980699120737725,0.2967331474730145,0.005432840088641075,0.005432840088641075,0.0
COLQ,0.29980699120737725,0.2946600900707699,0.0034312674244048897,0.0034312674244048897,0.0
KCNJ14,0.29980699120737725,0.27199942812209593,0.004074630066480806,0.004074630066480806,0.0
CSPP1,0.29980699120737725,0.2965186932589892,0.005075416398598899,0.005075416398598899,0.0
