gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less7,dmelanogaster_stress_up_Fraction_sp_less6,dmelanogaster_stress_up_Fraction_sp_less5,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
GANAB,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30152644143818275,0.2567460030384142,0.009838674672647037,0.009838674672647037,0.0
SLC34A1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.2503074585835202,0.006366201258771613,0.006366201258771613,0.0
SLC34A3,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2683932576141214,0.013962236851624104,0.013962236851624104,0.0
SLC34A2,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30138175504593795,0.20473124502640527,0.005136366924690733,0.005136366924690733,0.0
OR2AE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3CL,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30015192071185703,0.15315054619113072,0.0024596686681617594,0.0024596686681617594,0.0
UBR3,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.28286189683860236,0.020400781306518123,0.020328438110395718,7.234319612240469e-05
UBR2,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30051363669246905,0.18613904362294725,0.0015915503146929032,0.0015192071185704985,7.234319612240469e-05
UBR1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.2888663821167619,0.030022426390797944,0.029950083194675542,7.234319612240469e-05
UBR7,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3011647254575707,0.23381320986761195,0.005281053316935542,0.005208710120813137,7.234319612240469e-05
UBR5,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.2890110685090067,0.03277146784344932,0.03277146784344932,0.0
UBR4,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3009476958692035,0.21637849960211242,0.004919337336323519,0.004919337336323519,0.0
CCNY,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3013094118498155,0.20480358822252767,0.0024596686681617594,0.0023873254720393547,7.234319612240469e-05
CCNF,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30174347102654997,0.28416407436880564,0.020111408522028505,0.0200390653259061,7.234319612240469e-05
CCNC,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.28445344715329524,0.018447515011213195,0.018447515011213195,0.0
CCNO,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2852492223106417,0.021558272444476598,0.021485929248354192,7.234319612240469e-05
CCNH,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3004412934963467,0.15213774144541706,0.001157491137958475,0.0010851479418360704,7.234319612240469e-05
CCNI,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30152644143818275,0.2730232221659553,0.011502568183462345,0.01143022498733994,7.234319612240469e-05
CCNJ,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30138175504593795,0.24582218042393114,0.008970556319178181,0.008898213123055776,7.234319612240469e-05
CCNK,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3013094118498155,0.24799247630760327,0.007379006004485278,0.007306662808362873,7.234319612240469e-05
NCKAP5,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3011647254575707,0.19973956449395935,0.002097952687549736,0.0020256094914273314,7.234319612240469e-05
NCKAP1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.2853215655067641,0.021847645228966216,0.021847645228966216,0.0
JMY,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30152644143818275,0.28633437025247777,0.02575417781957607,0.02575417781957607,0.0
INVS,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.27721912754105477,0.017651739853866744,0.017651739853866744,0.0
CDC25C,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30174347102654997,0.28278955364247993,0.02220936120957824,0.02220936120957824,0.0
CDC25B,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3014540982420603,0.2780872458945236,0.01823048542284598,0.01823048542284598,0.0
CDC25A,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3015987846343051,0.26607827533820444,0.01280474571366563,0.012732402517543226,7.234319612240469e-05
UAP1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3010923822614483,0.22339578962598566,0.005136366924690733,0.005064023728568328,7.234319612240469e-05
TMPRSS13,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.28662374303696736,0.023366852347536715,0.023366852347536715,0.0
ZNF821,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2795341098169717,0.015192071185704984,0.015192071185704984,0.0
ZNF827,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30138175504593795,0.2716487014396296,0.016711278304275483,0.016711278304275483,0.0
LRIG2,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30174347102654997,0.28495984952615205,0.03190334948998047,0.03190334948998047,0.0
LRIG1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3013094118498155,0.2562396006655574,0.007379006004485278,0.007306662808362873,7.234319612240469e-05
A1CF,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3004412934963467,0.095637705273819,0.0008681183534688563,0.0008681183534688563,0.0
ACAN,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3012370686536931,0.19402445200028937,0.0037618461983650437,0.0037618461983650437,0.0
POT1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.28459813354554003,0.02437965709325038,0.02437965709325038,0.0
CD302,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2830789264269695,0.015481443970194603,0.015481443970194603,0.0
CLPTM1L,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.28633437025247777,0.02257107719019026,0.02249873399406786,7.234319612240469e-05
