gene_amexicanum_regen_up,amexicanum_regen_up_Fraction_sp_less4,amexicanum_regen_up_Fraction_sp_less3,amexicanum_regen_up_Fraction_sp_less2,amexicanum_regen_up_Fraction_sp_1,amexicanum_regen_up_Fraction_sp_0
DEPDC6,0.08081224249558563,0.004885226603884638,0.0,0.0,0.0
DLG7,0.0773984696880518,0.003884638022366098,0.0,0.0,0.0
FBXO43,0.0731606827545615,0.006886403766921719,5.885815185403178e-05,5.885815185403178e-05,0.0
FBXO5,0.11100647439670394,0.02807533843437316,0.001118304885226604,0.001059446733372572,5.885815185403178e-05
GH1,0.10753384343731606,0.021247792819305472,0.00011771630370806356,0.00011771630370806356,0.0
GLI3,0.11088875809299588,0.0177751618599176,0.00011771630370806356,0.00011771630370806356,0.0
GLIS2,0.0998234255444379,0.009299587992937022,5.885815185403178e-05,5.885815185403178e-05,0.0
HIPK2,0.11783402001177164,0.03896409652736904,0.0004120070629782225,0.0004120070629782225,0.0
HIVEP2,0.107416127133608,0.017951736315479694,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
KIAA0947,0.10417892878163626,0.018716892289582107,0.00011771630370806356,0.00011771630370806356,0.0
KRT79,0.05497351383166568,0.0015891701000588581,0.0,0.0,0.0
NRD1,0.0924072984108299,0.009770453207769276,5.885815185403178e-05,5.885815185403178e-05,0.0
PDCD4,0.11236021188934668,0.026603884638022365,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
PHLPP1,0.10924072984108299,0.022601530311948205,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
SERPINB4,0.09399646851088876,0.011477339611536198,0.00011771630370806356,0.00011771630370806356,0.0
SNRNP70,0.11630370806356681,0.02642731018246027,0.000824014125956445,0.000824014125956445,0.0
SUN2,0.07810476751030018,0.004355503237198352,5.885815185403178e-05,5.885815185403178e-05,0.0
TUBGCP2,0.11212477928193054,0.0303708063566804,0.0002942907592701589,0.0002942907592701589,0.0
USP47,0.06886403766921718,0.003060623896409653,0.0,0.0,0.0
CDCA2,0.1003531489111242,0.013596233078281342,0.000529723366686286,0.000529723366686286,0.0
DSN1,0.1012948793407887,0.012419070041200707,0.00017657445556209535,0.00017657445556209535,0.0
HJURP,0.09705709240729841,0.010005885815185403,0.00047086521483225425,0.00047086521483225425,0.0
KIF15,0.10806356680400235,0.01942319011183049,0.001059446733372572,0.0010005885815185403,5.885815185403178e-05
NCAPG2,0.11012360211889347,0.027015891701000588,0.00047086521483225425,0.0004120070629782225,5.885815185403178e-05
SPC25,0.11047675103001765,0.02319011183048852,0.0017068864037669217,0.0017068864037669217,0.0
UBR5,0.11653914067098294,0.03755150088287228,0.0004120070629782225,0.0004120070629782225,0.0
SNCG,0.10882872277810476,0.01742201294879341,0.00017657445556209535,0.00017657445556209535,0.0
NKAP,0.09358446144791054,0.00694526191877575,5.885815185403178e-05,5.885815185403178e-05,0.0
PARP2,0.11359623307828134,0.024072984108299,0.00017657445556209535,0.00017657445556209535,0.0
WBP4,0.10882872277810476,0.015950559152442614,0.000529723366686286,0.000529723366686286,0.0
BUD13,0.011418481459682167,0.00011771630370806356,0.0,0.0,0.0
RBMX2,0.031489111241907,0.00011771630370806356,0.0,0.0,0.0
BXDC2,0.08228369629193644,0.005356091818716892,0.0,0.0,0.0
BYSL,0.08552089464390818,0.004473219540906416,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
CIRH1A,0.08840494408475574,0.005179517363154797,0.0002942907592701589,0.0002942907592701589,0.0
DCAF13,0.0859329017068864,0.004237786933490288,0.00011771630370806356,0.00011771630370806356,0.0
DHX37,0.0709240729841083,0.00429664508534432,5.885815185403178e-05,5.885815185403178e-05,0.0
IMP4,0.09676280164802825,0.010123602118893467,0.00011771630370806356,0.00011771630370806356,0.0
LTV1,0.10341377280753385,0.014655679811653914,0.00011771630370806356,0.00011771630370806356,0.0
NIFK,0.09075927015891701,0.0060623896409652735,0.0005885815185403178,0.0005885815185403178,0.0
NOB1,0.10217775161859917,0.02118893466745144,0.00011771630370806356,0.00011771630370806356,0.0
NOL10,0.10612124779281931,0.017598587404355503,0.00011771630370806356,0.00011771630370806356,0.0
NOP58,0.10841671571512654,0.017657445556209534,0.0007062978222483814,0.0007062978222483814,0.0
PWP2,0.08528546203649205,0.003943496174220129,0.00023543260741612713,0.00023543260741612713,0.0
RRP12,0.08758092995879929,0.009358446144791054,0.00017657445556209535,0.00017657445556209535,0.0
TRO,0.10423778693349028,0.018952324896998236,0.00011771630370806356,0.00011771630370806356,0.0
TROAP,0.07310182460270748,0.005826957033549147,0.00017657445556209535,0.00017657445556209535,0.0
UTP15,0.0709240729841083,0.0020600353148911123,0.00017657445556209535,0.00017657445556209535,0.0
WDR3,0.08187168922895821,0.0036492054149499706,0.00023543260741612713,0.00023543260741612713,0.0
BZW1,0.10441436138905238,0.017068864037669218,5.885815185403178e-05,5.885815185403178e-05,0.0
BZW2,0.10435550323719835,0.0151854031783402,5.885815185403178e-05,5.885815185403178e-05,0.0
CMYA5,0.07751618599175986,0.0025897586815773984,0.0,0.0,0.0
EDEM1,0.05409064155385521,0.0012360211889346675,0.0,0.0,0.0
PREX1,0.10712183637433785,0.01783402001177163,0.0004120070629782225,0.0004120070629782225,0.0
BZW1L1,0.07522071806945262,0.0036492054149499706,0.0,0.0,0.0
C10ORF10,0.10841671571512654,0.02107121836374338,0.00017657445556209535,0.00017657445556209535,0.0
C10orf10,0.0655679811653914,0.0028840494408475573,0.00011771630370806356,0.00011771630370806356,0.0
C10ORF11,0.10241318422601531,0.015538552089464391,0.0,0.0,0.0
C10ORF111,0.05997645673925839,0.0036492054149499706,0.0,0.0,0.0
C10ORF114,0.09064155385520895,0.01059446733372572,5.885815185403178e-05,5.885815185403178e-05,0.0
C10ORF118,0.08975868157739847,0.008063566804002354,5.885815185403178e-05,5.885815185403178e-05,0.0
C10ORF119,0.10241318422601531,0.014479105356091818,0.00011771630370806356,0.00011771630370806356,0.0
