gene_dmelanogaster_stress_down,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less3,dmelanogaster_stress_down_Fraction_sp_less2,dmelanogaster_stress_down_Fraction_sp_1,dmelanogaster_stress_down_Fraction_sp_0
PLXNC1,0.11042183622828784,0.10959470636889991,0.0028949545078577337,0.0028432588916459884,5.1695616211745244e-05
EXOC6B,0.11042183622828784,0.11000827129859388,0.003411910669975186,0.003411910669975186,0.0
ARL2BP,0.11042183622828784,0.10613110008271298,0.0013440860215053765,0.0013440860215053765,0.0
DYNC1I2,0.11042183622828784,0.11021505376344086,0.005841604631927212,0.005841604631927212,0.0
KLHL7,0.11042183622828784,0.10995657568238214,0.003205128205128205,0.003205128205128205,0.0
PPIF,0.11042183622828784,0.11037014061207609,0.009873862696443341,0.009873862696443341,0.0
RAB7A,0.11042183622828784,0.11031844499586435,0.013595947063688999,0.013595947063688999,0.0
BSCL2,0.11042183622828784,0.10985318444995865,0.003825475599669148,0.003825475599669148,0.0
PDLIM5,0.11042183622828784,0.11031844499586435,0.007650951199338296,0.007650951199338296,0.0
PKDCC,0.11042183622828784,0.11016335814722912,0.008219602977667493,0.008219602977667493,0.0
ABI1,0.11042183622828784,0.11000827129859388,0.006255169561621175,0.006255169561621175,0.0
TBC1D2,0.11042183622828784,0.10995657568238214,0.003825475599669148,0.003825475599669148,0.0
INS,0.11042183622828784,0.11037014061207609,0.046474358974358976,0.046474358974358976,0.0
CYTH3,0.11042183622828784,0.1098014888337469,0.004807692307692308,0.004755996691480562,5.1695616211745244e-05
RAPGEF6,0.11042183622828784,0.10928453267162945,0.0027398676592224978,0.0027398676592224978,0.0
MYO5B,0.11042183622828784,0.11031844499586435,0.008426385442514474,0.008426385442514474,0.0
RAP2C,0.11042183622828784,0.11031844499586435,0.012562034739454095,0.012562034739454095,0.0
RASGRP3,0.11042183622828784,0.11005996691480563,0.005169561621174525,0.005169561621174525,0.0
ZNF24,0.11042183622828784,0.10918114143920596,0.004032258064516129,0.004032258064516129,0.0
DOCK7,0.11042183622828784,0.10995657568238214,0.0035669975186104217,0.003515301902398677,5.1695616211745244e-05
ITSN1,0.11042183622828784,0.11037014061207609,0.011166253101736972,0.011166253101736972,0.0
PLXNB1,0.11042183622828784,0.11000827129859388,0.003980562448304384,0.003928866832092638,5.1695616211745244e-05
PGM5,0.11042183622828784,0.11000827129859388,0.006720430107526882,0.006720430107526882,0.0
ARL8A,0.11042183622828784,0.11031844499586435,0.009201819685690654,0.009201819685690654,0.0
SOS1,0.11042183622828784,0.11026674937965261,0.010959470636889991,0.010959470636889991,0.0
CAPZB,0.11042183622828784,0.11031844499586435,0.008271298593879239,0.008271298593879239,0.0
PKP4,0.11042183622828784,0.10985318444995865,0.0049110835401157986,0.0049110835401157986,0.0
PSAT1,0.11042183622828784,0.11037014061207609,0.008633167907361456,0.00858147229114971,5.1695616211745244e-05
POTEI,0.11042183622828784,0.11031844499586435,0.00946029776674938,0.00946029776674938,0.0
MAPK13,0.11042183622828784,0.11031844499586435,0.01478494623655914,0.014733250620347395,5.1695616211745244e-05
FLT1,0.11042183622828784,0.11037014061207609,0.011011166253101737,0.011011166253101737,0.0
KIAA1755,0.11042183622828784,0.1071650124069479,0.0008788254755996692,0.0008788254755996692,0.0
RAPGEFL1,0.11042183622828784,0.10752688172043011,0.0013957816377171215,0.0013957816377171215,0.0
CLTA,0.11042183622828784,0.11011166253101737,0.005272952853598015,0.005272952853598015,0.0
STXBP5,0.11042183622828784,0.11031844499586435,0.003825475599669148,0.003825475599669148,0.0
RAB11FIP3,0.11042183622828784,0.10959470636889991,0.0022229114971050457,0.0021712158808933004,5.1695616211745244e-05
PLK5,0.11042183622828784,0.11031844499586435,0.008943341604631927,0.008943341604631927,0.0
NET1,0.11042183622828784,0.1098014888337469,0.004083953680727875,0.004083953680727875,0.0
UBE2T,0.11042183622828784,0.11026674937965261,0.008736559139784945,0.008736559139784945,0.0
AGAP14,0.11042183622828784,0.10850909842845327,0.0020678246484698098,0.0020678246484698098,0.0
RASA1,0.11042183622828784,0.11011166253101737,0.008633167907361456,0.008633167907361456,0.0
VAMP3,0.11042183622828784,0.11021505376344086,0.008064516129032258,0.008064516129032258,0.0
C2CD4B,0.11042183622828784,0.10602770885028949,0.0016542597187758478,0.0016542597187758478,0.0
RAB6B,0.11042183622828784,0.11031844499586435,0.008012820512820512,0.008012820512820512,0.0
ACAP2,0.11042183622828784,0.11016335814722912,0.00532464846980976,0.00532464846980976,0.0
PELO,0.11042183622828784,0.1096980976013234,0.0031534325889164597,0.0031534325889164597,0.0
ARHGEF26,0.11042183622828784,0.10938792390405294,0.0029983457402812243,0.0029983457402812243,0.0
TNNC1,0.11042183622828784,0.11031844499586435,0.006772125723738627,0.006772125723738627,0.0
EPN1,0.11042183622828784,0.11016335814722912,0.005169561621174525,0.005169561621174525,0.0
YWHAG,0.11042183622828784,0.11031844499586435,0.01892059553349876,0.01892059553349876,0.0
FCHSD1,0.11042183622828784,0.1086641852770885,0.002274607113316791,0.002274607113316791,0.0
KIF3C,0.11042183622828784,0.11016335814722912,0.00749586435070306,0.00749586435070306,0.0
EPHA7,0.11042183622828784,0.11031844499586435,0.010597601323407774,0.010597601323407774,0.0
KANK2,0.11042183622828784,0.11016335814722912,0.006255169561621175,0.00620347394540943,5.1695616211745244e-05
TBC1D10B,0.11042183622828784,0.1070616211745244,0.001964433416046319,0.001964433416046319,0.0
ENSG00000250021,0.11042183622828784,0.10752688172043011,0.0011373035566583955,0.0011373035566583955,0.0
MOGS,0.11042183622828784,0.11011166253101737,0.005014474772539288,0.005014474772539288,0.0
SLITRK5,0.11042183622828784,0.10856079404466501,0.002533085194375517,0.002533085194375517,0.0
UBE2Z,0.11042183622828784,0.11026674937965261,0.009098428453267164,0.009098428453267164,0.0
PIK3CB,0.11042183622828784,0.11031844499586435,0.013544251447477253,0.013544251447477253,0.0
ATP6V0A2,0.11042183622828784,0.11005996691480563,0.005634822167080232,0.005634822167080232,0.0
PLEKHG7,0.11042183622828784,0.10747518610421836,0.0018093465674110835,0.0018093465674110835,0.0
SCFD1,0.11042183622828784,0.11011166253101737,0.0036703887510339123,0.0036703887510339123,0.0
JUP,0.11042183622828784,0.11031844499586435,0.009718775847808106,0.009718775847808106,0.0
TUBE1,0.11042183622828784,0.11037014061207609,0.006617038875103391,0.006617038875103391,0.0
APPL2,0.11042183622828784,0.10959470636889991,0.004807692307692308,0.004807692307692308,0.0
THADA,0.11042183622828784,0.10990488006617039,0.004497518610421836,0.004497518610421836,0.0
SEC31B,0.11042183622828784,0.10990488006617039,0.004032258064516129,0.004032258064516129,0.0
RADIL,0.11042183622828784,0.11021505376344086,0.004704301075268817,0.004704301075268817,0.0
AGPS,0.11042183622828784,0.10985318444995865,0.005014474772539288,0.005014474772539288,0.0
TGFBR2,0.11042183622828784,0.11021505376344086,0.01716294458229942,0.01716294458229942,0.0
IQSEC2,0.11042183622828784,0.11021505376344086,0.005686517783291977,0.005634822167080232,5.1695616211745244e-05
FAU,0.11042183622828784,0.11037014061207609,0.015922249793217536,0.015922249793217536,0.0
DYNC1LI1,0.11042183622828784,0.11026674937965261,0.0034636062861869315,0.0034636062861869315,0.0
FAS,0.11042183622828784,0.11026674937965261,0.010235732009925558,0.010235732009925558,0.0
CDC6,0.11042183622828784,0.11037014061207609,0.014629859387923903,0.014629859387923903,0.0
ATP5B,0.11042183622828784,0.11037014061207609,0.015405293631100082,0.015405293631100082,0.0
EPHA10,0.11042183622828784,0.11021505376344086,0.0073407775020678245,0.0073407775020678245,0.0
KIFAP3,0.11042183622828784,0.11000827129859388,0.003360215053763441,0.0033085194375516956,5.1695616211745244e-05
DAB2IP,0.11042183622828784,0.11031844499586435,0.00739247311827957,0.00739247311827957,0.0
AMHR2,0.11042183622828784,0.11021505376344086,0.0073407775020678245,0.00728908188585608,5.1695616211745244e-05
PIK3CA,0.11042183622828784,0.11037014061207609,0.020885028949545078,0.020885028949545078,0.0
PPP3CB,0.11042183622828784,0.11037014061207609,0.018558726220016544,0.018558726220016544,0.0
ZYX,0.11042183622828784,0.11031844499586435,0.007702646815550041,0.007702646815550041,0.0
SEC14L5,0.11042183622828784,0.10918114143920596,0.0031534325889164597,0.003101736972704715,5.1695616211745244e-05
EPHA8,0.11042183622828784,0.11021505376344086,0.007702646815550041,0.007702646815550041,0.0
UBE2L3,0.11042183622828784,0.11031844499586435,0.010287427626137303,0.010287427626137303,0.0
KIF24,0.11042183622828784,0.11021505376344086,0.0052212572373862695,0.005169561621174525,5.1695616211745244e-05
TYK2,0.11042183622828784,0.11031844499586435,0.010132340777502068,0.010132340777502068,0.0
COPA,0.11042183622828784,0.11005996691480563,0.0034636062861869315,0.0034636062861869315,0.0
GAPVD1,0.11042183622828784,0.11021505376344086,0.008684863523573201,0.008684863523573201,0.0
GOSR1,0.11042183622828784,0.10995657568238214,0.003773779983457403,0.003773779983457403,0.0
GNAT1,0.11042183622828784,0.11026674937965261,0.005376344086021506,0.005376344086021506,0.0
TBC1D24,0.11042183622828784,0.10933622828784119,0.0018610421836228288,0.0018093465674110835,5.1695616211745244e-05
ADCY3,0.11042183622828784,0.11037014061207609,0.008322994210090985,0.008271298593879239,5.1695616211745244e-05
UACA,0.11042183622828784,0.11026674937965261,0.005686517783291977,0.005686517783291977,0.0
ZNFX1,0.11042183622828784,0.10964640198511166,0.00423904052936311,0.00423904052936311,0.0
CYFIP1,0.11042183622828784,0.11016335814722912,0.007030603804797354,0.007030603804797354,0.0
MET,0.11042183622828784,0.11031844499586435,0.018145161290322582,0.018145161290322582,0.0
ENSG00000270898,0.11042183622828784,0.11026674937965261,0.005117866004962779,0.005117866004962779,0.0
GRTP1,0.11042183622828784,0.11005996691480563,0.004445822994210091,0.004445822994210091,0.0
DYRK2,0.11042183622828784,0.11016335814722912,0.008426385442514474,0.008426385442514474,0.0
CAPS,0.11042183622828784,0.10949131513647643,0.0034636062861869315,0.003411910669975186,5.1695616211745244e-05
RHBDL3,0.11042183622828784,0.11031844499586435,0.013130686517783293,0.013078990901571547,5.1695616211745244e-05
ACTG2,0.11042183622828784,0.11031844499586435,0.012613730355665839,0.012613730355665839,0.0
PARD6G,0.11042183622828784,0.10974979321753515,0.004394127377998346,0.004394127377998346,0.0
USP32,0.11042183622828784,0.11031844499586435,0.01033912324234905,0.01033912324234905,0.0
TSSK4,0.11042183622828784,0.11026674937965261,0.006978908188585608,0.006978908188585608,0.0
