gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less7,hsapiens_stress_down_Fraction_sp_less6,hsapiens_stress_down_Fraction_sp_less5,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
COG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARHL1,0.10816670681763431,0.02806552637918574,0.008552156106962177,0.00481811611659841,0.0021681522524692846,0.0,0.0,0.0
CFTR,0.3360635991327391,0.29800048181161165,0.17586123825584196,0.06155143338954469,0.022765598650927487,0.0018067935437244037,0.0018067935437244037,0.0
PCBP4,0.34533847265719103,0.333293182365695,0.2870392676463503,0.1751385208383522,0.04625391471934474,0.001445434834979523,0.001445434834979523,0.0
GUCY1A2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PCBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBP3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PCBP1,0.3208865333654541,0.2384967477716213,0.09238737653577452,0.020597446398458202,0.0008431703204047217,0.0,0.0,0.0
LZTS2,0.3406408094435076,0.32618646109371235,0.27174174897615033,0.14406167188629246,0.05552878824379667,0.0055408335340881715,0.0055408335340881715,0.0
LZTS3,0.33811129848229343,0.30522765598650925,0.20055408335340882,0.06926041917610215,0.015417971573114912,0.000963623223319682,0.0008431703204047217,0.00012045290291496025
LZTS1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
C1QL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK1IP1,0.31100939532642735,0.21356299686822452,0.045892556010599855,0.0042158516020236085,0.0013249819320645627,0.00012045290291496025,0.00012045290291496025,0.0
FAM57A,0.330281859792821,0.2737894483257047,0.13081185256564684,0.04227896892315105,0.010358949650686582,0.0002409058058299205,0.0002409058058299205,0.0
RFWD2,0.3285955191520116,0.266562274150807,0.1335822693326909,0.03444953023367863,0.001445434834979523,0.00012045290291496025,0.00012045290291496025,0.0
RFWD3,0.33811129848229343,0.3072753553360636,0.21741748976150324,0.07528306432185015,0.008070344495302337,0.000481811611659841,0.000481811611659841,0.0
TRMT6,0.27692122380149364,0.12346422548783426,0.01457480125271019,0.002409058058299205,0.0008431703204047217,0.0,0.0,0.0
