gene_celegans_stress_down,celegans_stress_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less3,celegans_stress_down_Fraction_sp_less2,celegans_stress_down_Fraction_sp_1,celegans_stress_down_Fraction_sp_0
OR1J1,0.25082712985938793,0.1993899917287014,0.0013440860215053765,0.0013440860215053765,0.0
FAM186B,0.25082712985938793,0.1623759305210918,0.0005686517783291977,0.0005686517783291977,0.0
C14orf28,0.25082712985938793,0.21293424317617865,0.0009305210918114144,0.0009305210918114144,0.0
TMEM213,0.25082712985938793,0.23247518610421836,0.003101736972704715,0.003101736972704715,0.0
TMEM33,0.25082712985938793,0.24694995864350702,0.005944995864350703,0.005944995864350703,0.0
XG,0.25082712985938793,0.2354735318444996,0.0015508684863523574,0.0015508684863523574,0.0
CCDC167,0.25082712985938793,0.17085401157981803,0.0003618693134822167,0.0003618693134822167,0.0
TATDN3,0.25082712985938793,0.2457609594706369,0.005066170388751034,0.005066170388751034,0.0
GPBP1,0.25082712985938793,0.2460194375516956,0.0035669975186104217,0.0035669975186104217,0.0
WDR89,0.25082712985938793,0.2396091811414392,0.00641025641025641,0.00641025641025641,0.0
SLC25A26,0.25082712985938793,0.24741521918941273,0.00532464846980976,0.00532464846980976,0.0
MZT2A,0.25082712985938793,0.2353701406120761,0.0020161290322580645,0.0020161290322580645,0.0
ENSG00000269035,0.25082712985938793,0.1968569065343259,0.0011373035566583955,0.0011373035566583955,0.0
TMPPE,0.25082712985938793,0.23159636062861869,0.0027398676592224978,0.002688172043010753,5.1695616211745244e-05
MBLAC2,0.25082712985938793,0.24317617866004962,0.0037220843672456576,0.0036703887510339123,5.1695616211745244e-05
ENSG00000124208,0.25082712985938793,0.24824234904880066,0.007030603804797354,0.007030603804797354,0.0
C5orf64,0.25082712985938793,0.19468569065343258,0.0005686517783291977,0.0005686517783291977,0.0
CCDC151,0.25082712985938793,0.2098842018196857,0.0012406947890818859,0.0012406947890818859,0.0
CCDC114,0.25082712985938793,0.23495657568238212,0.002688172043010753,0.002688172043010753,0.0
ADPRM,0.25082712985938793,0.236404052936311,0.0025847808105872623,0.0025847808105872623,0.0
CCDC65,0.25082712985938793,0.24317617866004962,0.0029983457402812243,0.0029983457402812243,0.0
