gene_downregulated.regen,downregulated.regen_Fraction_sp_less4,downregulated.regen_Fraction_sp_less3,downregulated.regen_Fraction_sp_less2,downregulated.regen_Fraction_sp_1,downregulated.regen_Fraction_sp_0
GUK1,0.04503960769520936,0.0029422859298377972,0.0,0.0,0.0
NDUFA4L2,0.05258393059222935,0.015239532251980385,0.0006035458317615994,0.0006035458317615994,0.0
ACR,0.04405884571859676,0.011542814032440589,0.00015088645794039985,0.00015088645794039985,0.0
OR6T1,0.021803093172387777,0.0009053187476423991,0.0,0.0,0.0
ATP5O,0.05597887589588835,0.01003394945303659,0.00015088645794039985,0.00015088645794039985,0.0
MEP1A,0.012599019238023387,0.0003772161448509996,0.0,0.0,0.0
MEP1B,0.0,0.0,0.0,0.0,0.0
ATP5L,0.05688419464353074,0.014183327046397586,7.544322897019993e-05,7.544322897019993e-05,0.0
NCSTN,0.053187476423990944,0.011316484345529988,0.00015088645794039985,0.00015088645794039985,0.0
TCP11L1,0.05016974726518295,0.011693700490380989,0.0,0.0,0.0
TCP11L2,0.04466239155035836,0.0027159562429271973,0.0,0.0,0.0
ANGPT2,0.05982648057336854,0.028064881176914372,0.004224820822331196,0.004224820822331196,0.0
ANGPT1,0.05929837797057714,0.028366654092795172,0.0031686156167483968,0.0031686156167483968,0.0
ANGPT4,0.05967559411542814,0.027008675971331574,0.0036967182195397964,0.0036967182195397964,0.0
SCAMP5,0.06043002640513014,0.02889475669558657,0.0009053187476423991,0.0009053187476423991,0.0
GUCA1A,0.0,0.0,0.0,0.0,0.0
GUCA1C,0.04043757072802716,0.0021878536401357977,0.0,0.0,0.0
GUCA1B,0.03078083741984157,0.000980761976612599,0.0,0.0,0.0
MAGEA2,0.04556771029800075,0.0023387400980761975,0.00015088645794039985,0.00015088645794039985,0.0
ATM,0.05763862693323274,0.015843078083741986,0.0003772161448509996,0.0003772161448509996,0.0
ADAM33,0.06125990192380234,0.037570728027159564,0.009883062995096191,0.009883062995096191,0.0
DOT1L,0.058015843078083745,0.02218030931723878,0.00022632968691059977,0.00022632968691059977,0.0
CARS,0.03372312334967937,0.0009053187476423991,0.0,0.0,0.0
CARF,0.05967559411542814,0.02927197284043757,0.0023387400980761975,0.0023387400980761975,0.0
SYCP3,0.0,0.0,0.0,0.0,0.0
TAOK2,0.056356092040739346,0.01109015465861939,7.544322897019993e-05,7.544322897019993e-05,0.0
TAOK3,0.025348924933987174,0.000980761976612599,7.544322897019993e-05,7.544322897019993e-05,0.0
SLC22A15,0.055450773293096944,0.013655224443606187,0.00015088645794039985,0.00015088645794039985,0.0
SLC22A12,0.027989437947944174,0.001056205205582799,7.544322897019993e-05,7.544322897019993e-05,0.0
SLC22A11,0.02912108638249717,0.0013579781214635986,0.0,0.0,0.0
NSMCE1,0.029045643153526972,7.544322897019993e-05,0.0,0.0,0.0
NSMCE2,0.05529988683515655,0.014032440588457186,0.00015088645794039985,0.00015088645794039985,0.0
SERGEF,0.05929837797057714,0.027310448887212374,0.0007544322897019992,0.0007544322897019992,0.0
SCARA3,0.060731799321010936,0.03477932855526217,0.006940777065258393,0.006940777065258393,0.0
SCARA5,0.05960015088645794,0.027687665032063373,0.003998491135420596,0.003998491135420596,0.0
ARHGDIB,0.06035458317615994,0.03251603168615617,0.003772161448509996,0.003772161448509996,0.0
ARHGDIA,0.05748774047529234,0.02233119577517918,0.0009053187476423991,0.0009053187476423991,0.0
USH1C,0.057412297246322144,0.015390418709920785,0.0003772161448509996,0.0003772161448509996,0.0
USH1G,0.05326291965296115,0.007167106752168993,0.00022632968691059977,0.00022632968691059977,0.0
TANC1,0.058694832138815545,0.025801584307808375,0.0024141833270463976,0.0024141833270463976,0.0
